Name,1142__FV-W4_CP04543,1139__FV-W4_CP04543,1136_FV-W4_CP04543,1144__FV-W4_CP04543,1141__FV-W4_CP04543,1138__FV-W4_CP04543,1140__FV-W4_CP04543,1137__FV-W4_CP04543,1145__FV-W4_CP04543,1143__FV-W4_CP04543,1146__FT-W4_CP04543,1150_FT-W4_CP04543,1149_FT-W4_CP04543,1152_FT-W4_CP04543,1153_FT-W4_CP04543,1148_FT-W4_CP04543,1155_FT-W4_CP04543,1147__FT-W4_CP04543,1154_FT-W4_CP04543,1151_FT-W4_CP04543
glycolysis III (from glucose),0.0227532,0.047419891,0,0,0.023216192,0.035848316,0.043439284,0.037519004,0.025516504,0.015682202,0.05110044,0,0,0.060167395,0,0,0.08884678,0.051208701,0,0.028668018
L-arginine biosynthesis I (via L-ornithine),0.0138976,0,0,0,0.009969126,0,0,0,0.012830102,0.010449802,0,0,0,0.0151227,0.0107548,0,0,0,0,0
L-arginine biosynthesis II (acetyl cycle),0.013585,0,0,0,0.010243697,0,0,0,0.014185802,0.011238101,0,0,0,0.017338598,0.010687101,0,0,0,0,0
chorismate biosynthesis I,0.011473401,0,0,0,0.005615789,0,0.008737027,0,0.007772542,0.009017381,0,0,0,0,0.00426704,0,0,0,0,0
superpathway of L-aspartate and L-asparagine biosynthesis,0.00543514,0.009762038,0,0,0.003273349,0.014644406,0.012344896,0.009041651,0.007686551,0,0,0,0,0,0,0.030463789,0.085906483,0.019127902,0,0.01456851
superpathway of branched chain amino acid biosynthesis,0.019952999,0,0.026082102,0,0.005913558,0,0.020572692,0,0.014288703,0.013997402,0,0,0,0,0.009657361,0,0,0.020578401,0,0
superpathway of coenzyme A biosynthesis III (mammals),0.0214175,0.015412198,0,0,0.019785194,0,0.012650495,0.017632103,0.021880304,0.019734804,0,0,0.059229277,0.036692496,0.026915502,0.031878587,0,0,0,0.019978512
coenzyme A biosynthesis I (prokaryotic),0.021162501,0.013616598,0,0,0.019083994,0,0.011475596,0.019250002,0.019660603,0.018992603,0.034436528,0,0.05903428,0.046421796,0.026527902,0.038524184,0,0.020107102,0,0.031300019
superpathway of aromatic amino acid biosynthesis,0.00757701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dTDP-&beta;-L-rhamnose biosynthesis,0.0137334,0.030974995,0.032557305,0.251578003,0.012439796,0.014075005,0.015825994,0.026966603,0.010560502,0.012983002,0.036458731,0,0.077458672,0.025635898,0.027430601,0.060684677,0.040381193,0.0237277,0.052687511,0.034584522
L-ornithine biosynthesis I,0.0104538,0,0,0,0.006485948,0,0,0,0.005967651,0.006018581,0,0,0,0.009989429,0.005550471,0,0,0,0,0
glycogen degradation I,0.00770232,0,0,0,0.005894388,0,0,0,0,0.004851951,0,0,0,0,0,0,0,0,0,0
glycogen biosynthesis I (from ADP-D-Glucose),0.0186457,0.019890398,0.062397406,0,0.012817197,0.023179207,0.013917094,0.015928002,0.013184903,0.012894502,0,0,0,0,0.016784402,0,0.052603092,0.008668371,0.023815306,0.019933313
L-isoleucine biosynthesis I (from threonine),0.020221099,0,0.030328203,0,0.006156728,0,0.021401592,0,0.014747303,0.014360101,0,0,0,0,0.00902056,0,0,0.021475701,0,0
lactose and galactose degradation I,0.0135951,0,0,0,0.007720777,0,0.011000196,0,0.011118102,0.010825101,0,0,0,0,0,0,0,0,0,0
methylerythritol phosphate pathway I,0.0110563,0,0.019173702,0,0.008802908,0,0,0,0.014266003,0.009159481,0,0,0,0,0.00915414,0,0,0,0,0
O-antigen building blocks biosynthesis (E. coli),0.00807131,0.019531298,0,0,0.014375896,0.013757706,0.013698095,0.017234601,0.009445922,0.012850001,0,0,0,0,0.022363301,0,0,0,0,0.029449617
pyruvate fermentation to acetate and (S)-lactate I,0.0307891,0.031903896,0.011879802,0,0.026372692,0.053624719,0.046362083,0.041814107,0.025688205,0.033149403,0.044690933,0,0,0,0.011983301,0,0.061852887,0.012738701,0.025979005,0.028095918
phosphopantothenate biosynthesis I,0.00520691,0.026891397,0,0,0,0.007024592,0.012958295,0,0.009921002,0.00345448,0,0,0,0.021399098,0,0,0,0.00721219,0,0
peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.0132925,0,0.014365502,0,0.016741896,0.016672807,0.016633693,0.016081002,0.018901603,0.018542701,0,0,0,0.023200698,0.027480403,0,0,0.010977601,0,0.01498341
glycolysis IV,0.017969901,0.056407694,0.058716707,0.252775997,0.021279993,0.063573919,0.041779086,0.061548706,0.021493204,0.014845902,0.163609132,0.255688012,0.137824953,0.063022599,0.013365201,0.076199673,0.17978096,0.054176401,0.061844312,0.028127717
L-lysine biosynthesis II,0.0102982,0.008764098,0,0,0.010504697,0,0.015716294,0,0.012695002,0.009179452,0,0,0,0.0211333,0.018091001,0.032780387,0,0,0,0.011764907
L-lysine biosynthesis III,0.010339401,0.009164879,0,0,0.009321577,0,0.015036895,0,0.013818403,0.008273051,0,0,0,0.0195393,0.0086148,0.039870985,0.04588899,0,0.028017906,0.007887015
folate transformations II (plants),0.027198801,0.022109596,0.027110104,0,0.025571793,0.017628808,0.026769489,0.020564202,0.023384405,0.023021804,0,0,0,0.018322399,0.014796201,0.063788377,0,0.021533901,0.05283941,0.042710327
L-lysine biosynthesis VI,0.0102942,0.007156679,0,0,0.009840148,0,0.015111195,0.012697502,0.012417903,0.00867168,0,0,0,0.021023598,0.009499981,0.035428289,0.040354691,0,0.020114304,0.008773495
pyruvate fermentation to acetate and lactate II,0.0307891,0.031903896,0.011879802,0,0.026372692,0.053624719,0.046362083,0.041814107,0.025688205,0.033149403,0.044690933,0,0,0,0.011983301,0,0.061852887,0.012738701,0.025979005,0.028095918
L-isoleucine biosynthesis III,0.019005401,0,0.021791004,0,0.005285588,0,0.019666294,0,0.013265403,0.013461601,0,0,0,0,0.008520581,0,0,0.019301401,0,0
sucrose degradation IV (sucrose phosphorylase),0.00644226,0.018656597,0,0,0.010280596,0.013503305,0.010765295,0.014216302,0.011039302,0.005117901,0,0,0,0,0.007799121,0,0,0,0,0
CDP-diacylglycerol biosynthesis I,0.00582173,0,0.025813304,0,0.005193199,0.018322205,0.008741206,0,0,0.010714001,0,0,0,0,0.012860801,0,0,0.009942481,0,0.007363325
UMP biosynthesis I,0.016709,0.029309897,0.026546404,0,0.026055392,0,0.02348759,0.027799504,0.027098406,0.023047304,0.056530245,0.174970001,0,0.028116299,0.024444701,0,0,0.034719203,0.038510405,0.024695516
