Name,1182_M-BL_CP04543-B,1156_M-BL_CP04543-B,1178_M-BL_CP04543-B,1164_M-BL_CP04543-B,1160_M-BL_CP04543-B,1184_M-BL_CP04543-B,1180_M-BL_CP04543-B,1174_M-BL_CP04543-B,1168_M-BL_CP04543-B,1136_F-BL_CP04543-B,1150_F-BL_CP04543-B,1138_F-BL_CP04543-B,1140_F-BL_CP04543-B,1152_F-BL_CP04543-B,1148_F-BL_CP04543-B,1170_M-BL_CP04543-B,1142_F-BL_CP04543-B,1154_F-BL_CP04543-B,1146_F-BL_CP04543-B,1144_F-BL_CP04543-B
1.1.1.1:Alcohol dehydrogenase,0.00110401,0.000710438,0.00138098,0,0.00109036,0.000687977,0,0.000299982,0,0,0.000653778,0,0.000716386,0,0,0.000537987,0,0,0,0.000454074
1.1.1.100:3-oxoacyl-[acyl-carrier-protein] reductase,0.00140403,0.00147987,0,0.00230444,0.00170502,0.00115383,0.000188997,0.0007896,0.000752457,0.000484275,0.000256217,0.000964505,0.000191689,0.000587391,0.000920837,0.00262799,0.00139356,0.000545704,0.00142545,0.00164988
1.1.1.131:Mannuronate reductase,0.000848531,0.00161353,0,0.00169664,0.00221103,0.00125518,0.002533611,0.000308346,0.000760973,0.000609455,0,0.000794747,0.00133808,0.000377679,0,0.00106063,0,0.000761789,0.00117509,0.000785165
1.1.1.133:dTDP-4-dehydrorhamnose reductase,0.00299719,0.00334354,0.00207399,0.003664969,0.00263767,0.00228685,0.00189479,0.0018806,0.00100549,0.00191029,0.00143007,0.00223291,0.00160088,0.003316999,0.000599197,0.00146168,0.00312806,0.0030625,0.00220591,0.0021776
1.1.1.157:3-hydroxybutyryl-CoA dehydrogenase,0.000308936,0.000193988,0,0,0.0011828,0,0.00136974,0,0.000606907,0.00140228,0.001304,0.00192073,0.000273275,0.000324827,0.00118114,0,0.000638273,0.00270547,0.000414956,0.000131147
1.1.1.169:2-dehydropantoate 2-reductase,0.000608342,0,0,0.000460329,0.000352086,0.000228443,0.00082407,0.000304721,0.00028005,0,0.000178974,0,0,0,0,0.000644888,0.000293105,0.000306478,0,0
"1.1.1.202:1,3-propanediol dehydrogenase",0.000466843,0.000365099,0.0006416,0,0.000552447,0,0,0.000287524,0,0,0.000758311,0.000537052,0.000334707,0,0,0,0.000788348,0,0,0.000447101
1.1.1.205:IMP dehydrogenase,0.005578831,0.00446173,0.00613103,0.005219669,0.00616554,0.006635959,0.009116212,0.005987729,0.00515719,0.010419199,0.007446089,0.0103289,0.00468768,0.011152297,0.0212742,0.006721349,0.003928211,0.0061235,0.009719709,0.004697509
1.1.1.22:UDP-glucose 6-dehydrogenase,0.00134063,0.00108969,0.00214311,0.004167609,0.000520722,0.003792509,0.0015126,0.000939436,0.00328399,0.00276818,0.00360733,0.002363,0.00378478,0.004626369,0,0.0015175,0.000544736,0.000460176,0.000516769,0.00257107
1.1.1.23:Histidinol dehydrogenase,0.00162266,0.00220204,0.00179496,0.00171387,0.0029166,0.00139406,0.002959751,0.00110619,0.0019716,0.000975644,0.00119352,0.00165773,0.000925669,0.003868599,0,0.00277523,0.00136373,0.000901366,0.00111968,0.00200524
1.1.1.267:1-deoxy-D-xylulose-5-phosphate reductoisomerase,0.00246448,0.00131411,0.000909717,0.00107287,0.00189038,0.00220709,0.00129533,0.00213425,0.00164924,0,0.000935325,0.00218172,0.00113075,0.00240411,0.00506543,0.00238965,0.00130217,0.00124318,0.00130527,0.00229905
1.1.1.27:L-lactate dehydrogenase,0.00367448,0.0042073,0.00452695,0.00231231,0.00271634,0.00243738,0.00226821,0.003977399,0.0041651,0.00426047,0.006641259,0.0032731,0.003888,0.002687479,0.00311434,0.003324,0.006290001,0.00593202,0.000310849,0.0029366
1.1.1.271:GDP-L-fucose synthase,0.00267951,0.00326161,0.00232034,0.00283451,0.00352327,0.00366542,0.004792181,0.00239019,0.00201536,0.00246884,0.00140731,0.00318205,0.00231737,0.004237759,0.00278659,0.00298134,0.00219247,0.00253885,0.000548642,0.00258537
"1.1.1.274:2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)",0.000386352,0,0.000787559,0.000362713,0,0.000588023,0,0.000273054,0.000451587,0,0.000742734,0,0.000640171,0,0,0.000457185,0.000846151,0.000451951,0.000600104,0.000426592
