Name,1182_M-BL_CP04543-B,1156_M-BL_CP04543-B,1178_M-BL_CP04543-B,1164_M-BL_CP04543-B,1160_M-BL_CP04543-B,1184_M-BL_CP04543-B,1180_M-BL_CP04543-B,1174_M-BL_CP04543-B,1168_M-BL_CP04543-B,1136_F-BL_CP04543-B,1150_F-BL_CP04543-B,1138_F-BL_CP04543-B,1140_F-BL_CP04543-B,1152_F-BL_CP04543-B,1148_F-BL_CP04543-B,1170_M-BL_CP04543-B,1142_F-BL_CP04543-B,1154_F-BL_CP04543-B,1146_F-BL_CP04543-B,1144_F-BL_CP04543-B
folate transformations III (E. coli),0.013640908,0.012613896,0.012769596,0.016453404,0.013954001,0.021622097,0,0.00918691,0.015916897,0.0132567,0,0.00902941,0.013951799,0,0,0.00973295,0.012856296,0.009002354,0,0.012646401
homolactic fermentation,0.011585706,0.008290517,0.027475592,0,0.013399701,0.015599898,0,0,0.011427497,0,0.018528705,0,0.013960299,0,0,0,0,0.018583909,0.008976279,0.012492101
glycolysis III (from glucose),0.022978211,0.037218791,0.040764887,0.03264581,0.024507601,0.024949398,0,0.024598699,0.035532992,0.0212465,0.031930707,0.0245221,0.0323915,0.040632397,0,0.036155399,0.028676793,0.034374215,0.022596996,0.031978805
superpathway of L-aspartate and L-asparagine biosynthesis,0.004982322,0.004676409,0.011664797,0,0,0.009017619,0,0.00233261,0.007241389,0,0.005613932,0,0.00515974,0,0,0,0,0.007504103,0,0.006877101
Calvin-Benson-Bassham cycle,0.006900124,0.005439928,0,0,0,0.017037697,0,0,0,0,0,0,0,0,0,0,0,0,0.009072968,0
superpathway of coenzyme A biosynthesis III (mammals),0.015582708,0,0,0.015480704,0.0158932,0.016338198,0.011780907,0.0160268,0.016226497,0.0143428,0.008083942,0.019401001,0.012339098,0.0219633,0,0.0136986,0.016055595,0.009742744,0.006412959,0.013790402
coenzyme A biosynthesis I (prokaryotic),0.01828781,0.012530596,0.018015094,0.026519706,0.014042402,0.016449196,0.010582707,0.028655099,0.019778196,0.0148793,0.010745004,0.017983999,0.017589899,0.0305626,0,0.012261401,0.024001693,0.023465911,0.005342619,0.013775001
superpathway of adenosylcobalamin salvage from cobinamide I,0.003278182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397136,0,0,0,0
dTDP-&beta;-L-rhamnose biosynthesis,0.016299108,0.030629292,0.022465592,0.027660908,0.013746501,0.024966696,0.032372218,0.0176851,0.014316698,0.0220345,0.013459304,0.028817698,0.019115098,0.0366925,0,0.012686701,0.015475496,0.028872613,0.027544796,0.021637902
gluconeogenesis I,0.01804591,0.021411693,0.043884289,0.018303005,0.014727601,0.031924296,0,0.0114534,0,0,0,0,0.019864699,0,0,0,0.016662596,0.015158507,0,0.011278801
GABA shunt,0.003885722,0,0,0,0,0,0,0,0,0,0.003356491,0,0,0,0,0,0,0,0,0
glycogen degradation I,0.003226322,0,0,0,0.006596971,0,0,0,0,0,0.006243052,0,0,0,0,0,0,0,0,0.0035836
glycogen biosynthesis I (from ADP-D-Glucose),0.006632983,0.018652594,0,0,0.033279303,0,0.029584819,0.00695832,0.014221398,0.040960602,0.017078906,0.058323897,0.007896089,0.040817,0.052519873,0.018945601,0.015588596,0.013541206,0.037533093,0.00673801
superpathway of glycolysis and the Entner-Doudoroff pathway,0.005073072,0,0,0,0,0,0,0,0,0,0,0,0.008823309,0,0,0,0,0.007696633,0,0
glycolysis I (from glucose 6-phosphate),0.022393011,0.030499792,0.039723884,0.024650907,0.0249332,0.023817897,0,0.024599599,0.035137493,0.0221771,0.022781808,0,0.0283443,0.040518101,0,0.030713001,0.030870091,0.029114112,0.021215497,0.021597201
L-histidine biosynthesis,0.005687322,0.010936596,0,0,0.00825435,0,0,0,0,0.009747559,0,0.014898401,0.007659359,0.0145085,0,0,0,0,0.009295818,0.008722451
L-methionine biosynthesis III,0.006971394,0.004926798,0,0.007519062,0.00667594,0.018317597,0.007725585,0.00570965,0.009339768,0,0,0.00962729,0.009200929,0.0151505,0,0.010299101,0.005817899,0.004461332,0,0.008651691
lactose and galactose degradation I,0.007088374,0,0,0,0,0,0,0.00985701,0.006043449,0,0,0,0,0,0,0,0,0,0,0
methylerythritol phosphate pathway I,0.011123005,0.016773693,0.018193694,0.018027404,0.0114761,0.027549798,0.023525914,0.0125485,0.019061195,0,0.008256633,0.014496099,0.011295999,0.0169899,0,0.015499501,0.018187296,0.011771505,0.015068198,0.017341303
pentose phosphate pathway (non-oxidative branch) I,0.002162981,0.00144231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002974639,0
O-antigen building blocks biosynthesis (E. coli),0.010409105,0.009541277,0.012400196,0.012460303,0.00677745,0,0,0.0116951,0.007777659,0,0.013894404,0,0.014302598,0,0,0,0.016441297,0.008764974,0,0.009607491
pyruvate fermentation to acetate and (S)-lactate I,0.008545195,0.013528896,0.015475195,0.017950404,0.00885755,0.011584098,0.014463609,0.00752649,0.013469698,0.0103062,0.018699506,0.00961971,0.013195598,0,0,0.011479801,0.018806495,0.016291607,0.005142009,0.012623101
phosphopantothenate biosynthesis I,0.010300305,0.012204496,0.009906417,0.014934904,0.008836671,0.016539298,0.01532081,0.004152,0.014910897,0.00946982,0.004886781,0,0.009170629,0.0109684,0,0.014371801,0.008991158,0.006375773,0,0.010741301
