Name,1171_M_O_V-W4_CP04543,1166_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1165_MSV-W4_CP04543,1158_MSV-W4_CP04543,1157_MSV-W4_CP04543,1162_MSV-W4_CP04543,1164_MSV-W4_CP04543,1161_MSV-W4_CP04543,1156_MSV-W4_CP04543,1159_MSV-W4_CP04543,1163_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1176_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543
1.1.1.100:3-oxoacyl-[acyl-carrier-protein] reductase,0.00222909,0.00117232,0,0.000366628,0.000664851,0.000588566,0,0,0,0,0,0,0.00169241,0,0.00254927,0.000695509,0,0,0,0.000326025,0.00119518,0.000144745,0.000689791,0.000757331,0.000251726,0.000632344,0.000322711,0.000447604,0.000557545
1.1.1.133:dTDP-4-dehydrorhamnose reductase,0.00140485,0.00279009,0,0.000304057,0,0.00128777,0.00117191,0.00171397,0,0.0012007,0.00300114,0,0.000518025,0.000456025,0.00137201,0,0,0.000795842,0.004156689,0.00183533,0.00154534,0.00189237,0.00184477,0.00114061,0.000627422,0,0.00113244,0.00111257,0
1.1.1.157:3-hydroxybutyryl-CoA dehydrogenase,0.00270982,0,0.00979032,0.000473014,0.00443346,0.000781665,0.00171423,0.00484952,0,0.000874226,0.000915974,0.00321047,0.00193128,0.00246239,0.00808456,0.007377201,0,0,0.002686089,0.0011503,0,0.000147156,0.000520823,0.000302179,0.000472639,0.000704087,0.000588583,0.000546513,0
1.1.1.169:2-dehydropantoate 2-reductase,0.00150281,0.00166977,0.00152669,0.00216479,0.000901554,0.000993646,0,0,0.0025586,0.00100594,0.000615709,0,0,0,0,0.00199731,0.002244951,0.00117403,0,0.00122586,0.00069102,0.00152064,0.00192714,0.00169021,0.00241001,0.00113156,0.00207708,0.00209406,0.0020358
1.1.1.205:IMP dehydrogenase,0.00419623,0.008997339,0.00814018,0.00291369,0.00647977,0.00342698,0.007093231,0.019481899,0.00327083,0.0100794,0.00491706,0.011448098,0.00800779,0.014481203,0.0157973,0.009941922,0.012815603,0.008008312,0.014846095,0.000899091,0.0019423,0.00213653,0.00260367,0.00184976,0.00268636,0.000878,0.00129046,0.0021322,0.00230766
1.1.1.22:UDP-glucose 6-dehydrogenase,0.000683222,0.00175612,0,0.00209703,0,0.00189763,0.0018003,0,0.00272196,0.0032712,0.00275052,0.000785298,0,0.009288171,0.00864916,0.00190976,0,0.0021182,0,0.00194362,0,0.000766767,0.00102148,0.00126173,0.000425402,0.000409592,0.0016288,0.000981792,0
1.1.1.23:Histidinol dehydrogenase,0.00356473,0.00380186,0.00163125,0.0013337,0.0020834,0.00156676,0.00100876,0.014954599,0.00134384,0.00134068,0,0,0,0.00181662,0.00100399,0.00129459,0,0,0,0.00103631,0,0.00164699,0.00111903,0.00123746,0.00176484,0.000712614,0.00158646,0.00130849,0.00139326
1.1.1.267:1-deoxy-D-xylulose-5-phosphate reductoisomerase,0.00241727,0.00178099,0,0.00253831,0.00203567,0.00143978,0.00155849,0.00141671,0.00166813,0.00143566,0,0,0,0.003982511,0.00277783,0.00161936,0,0.00136452,0.00176751,0.00159857,0.00125419,0.00303603,0.00261471,0.00187435,0.00240232,0.00121548,0.00166424,0.00186875,0.00266249
1.1.1.27:L-lactate dehydrogenase,0.00376363,0.0028988,0.00372154,0.00659797,0.00546614,0.005656509,0.00284773,0,0.007545951,0.00234173,0.00533687,0.005577649,0.00286315,0.00213077,0.00115138,0.004719451,0.003339221,0.009454791,0.007610607,0.00888788,0.006881981,0.005154129,0.005536541,0.00634412,0.005727829,0.006319821,0.00637355,0.00728613,0.00494303
1.1.1.271:GDP-L-fucose synthase,0.00275009,0.00332882,0,0.00151323,0.00213969,0.000780994,0.00115219,0.00168134,0.00147098,0,0.00313746,0.0035401,0,0.004154401,0.00112749,0.00221799,0.00189523,0,0,0.00107388,0.000794133,0.000449339,0.000422425,0,0,0.00102607,0.000195503,0,0
1.1.1.3:Homoserine dehydrogenase,0.00182566,0.00161574,0.00196727,0.00212462,0.00328064,0.00229528,0.00284481,0.0023449,0.00294803,0.00155451,0.00123754,0.00282352,0.0010374,0.00153129,0,0.00161321,0.002751201,0.0043633,0.001888459,0.00206301,0.00184814,0.00243431,0.00194376,0.00171417,0.00220087,0.00146088,0.00269629,0.00199844,0.00381255
1.1.1.42:Isocitrate dehydrogenase (NADP(+)),0.000493825,0.00202818,0,0.00158411,0.00229884,0.000934727,0.00298968,0.00323677,0.00202577,0.00285672,0,0,0.00292653,0.00180029,0.00238595,0.00291222,0,0.000949356,0.006680658,0.000913812,0.000698929,0.00156443,0.000779688,0.00138353,0.00200828,0.00137383,0.000942907,0.0012441,0.00181644
1.1.1.47:Glucose 1-dehydrogenase (NAD(P)(+)),0.00156585,0,0,0,0,0.000154083,0,0.00249954,0.000841356,0,0.00122882,0,0,0,0,0,0,0,0,0.000700942,0.00027699,0.000175116,0,0.000335687,0,0,0.000312302,0.00020888,0
1.1.1.49:Glucose-6-phosphate dehydrogenase (NADP(+)),0.000737429,0.000505354,0,0.000930278,0,0.000815033,0,0,0,0,0.00215608,0.00116017,0,0,0,0,0,0.00130094,0,0.00109846,0.00196548,0.00114237,0.0012694,0.00145792,0.0012399,0.000787503,0.00125984,0.00113257,0
1.1.1.69:Gluconate 5-dehydrogenase,0.000174455,0,0,0,0.00301806,0.0010431,0.000374016,0,0,0.000982785,0.0014273,0.00228077,0,0.000766414,0,0,0,0.00186082,0,0.00129744,0.00183054,0.000318885,0.000882056,0,0,0.00178525,0.000262742,0.000411351,0.00120425
1.1.1.77:Lactaldehyde reductase,0.000734694,0,0,0.000198979,0,0.000276674,0,0,0.000596962,0,0,0,0,0,0,0,0,0,0,0,0.00111188,0.000177977,0,0,0,0.000388601,0,0,0
1.1.1.85:3-isopropylmalate dehydrogenase,0.00162441,0.00127714,0.00760257,0.00189856,0.00301208,0.00121054,0.00269535,0.00636088,0.004346561,0.00269113,0.00314309,0.00196979,0.00188345,0.004706911,0.00566007,0.006467591,0.002680391,0,0,0.00242382,0.00180384,0.00234505,0.00247765,0.00275533,0.00218001,0.00180041,0.00150425,0.00170022,0.00169419
1.1.1.86:Ketol-acid reductoisomerase (NADP(+)),0.00661497,0.004675649,0.00889333,0.0031695,0.00706749,0.00281549,0.007649441,0.00454666,0.004864071,0.00679423,0.00413127,0.005930099,0.0101898,0.009641912,0.0132552,0.011151401,0.006326632,0.008730572,0.013236896,0.00365119,0.004396961,0.00283607,0.00304572,0.00169489,0.00140992,0.00148533,0.00233859,0.0020111,0.00453955
1.1.1.94:Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),0.00133114,0.00403353,0.00216169,0.00259214,0.000678964,0.00307726,0.00141476,0.00158768,0.00243823,0.00207132,0.0047313,0.004591339,0.00185017,0,0.00103697,0.00300431,0.003158361,0.003394071,0,0.00300598,0.00133659,0.00184626,0.00263367,0.0023632,0.00230851,0.00247374,0.00273742,0.00286051,0.000981063
1.11.1.1:NADH peroxidase,0.000839434,0.00150712,0,0,0.000464376,0.000282822,0.000713638,0.00185102,0.000312068,0.000635455,0.000511737,0,0,0.001432,0.00128704,0.00125691,0.003151741,0,0.00120754,0.000130139,0,0,0.000916564,0,0,0,0,0.000151573,0.000335873
