Name,1171_M_O_V-W4_CP04543,1166_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1165_MSV-W4_CP04543,1158_MSV-W4_CP04543,1157_MSV-W4_CP04543,1162_MSV-W4_CP04543,1164_MSV-W4_CP04543,1161_MSV-W4_CP04543,1156_MSV-W4_CP04543,1159_MSV-W4_CP04543,1163_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1176_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543
glycolysis III (from glucose),0.033496194,0.04425551,0.113897011,0.026064895,0.025087509,0.025081389,0.019419301,0,0.025097093,0.038889222,0.057556417,0.035930101,0.043815102,0.063717194,0,0,0,0,0,0.024943901,0.025112092,0.018260896,0.020884307,0.019278804,0.015995201,0.024189999,0.018472707,0.018045301,0.023056008
L-arginine biosynthesis I (via L-ornithine),0.010146199,0,0,0.016867397,0.014057505,0.012714294,0.013034001,0,0,0,0,0,0.0265746,0.035056196,0,0,0,0,0,0.0127523,0,0.013037697,0.014691505,0.015700402,0.016175499,0.019078901,0.010130604,0.0130184,0.014944406
L-arginine biosynthesis II (acetyl cycle),0.012998698,0,0,0.017234096,0.011720804,0.012841594,0.012941301,0,0.023008892,0.033114418,0,0,0.031773001,0.039000597,0,0,0,0,0,0.0101985,0.019850094,0.013748597,0.013172405,0.016143203,0.0198985,0.0202941,0.012871405,0.0130808,0.014449705
superpathway of L-aspartate and L-asparagine biosynthesis,0.009268339,0,0,0.005258499,0,0.003068079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103462,0.013944397,0.005828009,0.007428712,0.003894851,0.00714797,0.0070663,0.005319832,0.00581167,0.011001004
superpathway of branched chain amino acid biosynthesis,0.027833696,0.022651406,0,0.017141398,0.02886121,0.014571093,0.032484304,0,0.032840688,0,0.014372804,0,0.033684101,0,0,0.036285304,0,0,0,0.0111797,0.013767197,0.014816198,0.015793005,0.012032801,0.014980599,0.0162524,0.012993105,0.0131835,0.023242008
superpathway of coenzyme A biosynthesis III (mammals),0.011968698,0.009636203,0,0.017617896,0.016944205,0.013856494,0,0,0.024910092,0.014131508,0.024474608,0,0,0,0,0,0,0.020012598,0,0.0135873,0.008206358,0.015469697,0.015066604,0.020342803,0.017841699,0.011672599,0.019770408,0.019177599,0.017961206
coenzyme A biosynthesis I (prokaryotic),0.024953997,0.010859302,0.160825014,0.017567696,0.014681106,0.013222395,0,0,0.024512893,0.012493307,0.022600507,0.031078199,0,0,0,0.0159568,0,0.030570898,0,0.0133785,0.006861139,0.015473497,0.015428405,0.019235803,0.017743802,0.010037701,0.019609608,0.018177599,0.025077509
dTDP-&beta;-L-rhamnose biosynthesis,0.026754595,0.03570411,0,0.014977997,0.016239706,0.016429693,0.0144183,0.073196158,0.008534417,0.025429713,0.043255616,0,0.044325601,0.059495892,0.046792228,0.0196942,0,0.036818698,0.045781989,0.017184099,0.018170694,0.015549697,0.014588205,0.015878102,0.0109085,0.016875802,0.011978004,0.0110966,0.03225071
L-ornithine biosynthesis I,0.009409089,0,0,0.011128298,0.007323302,0.008446306,0.00717909,0,0,0,0,0,0.021648999,0.025697097,0,0,0,0,0,0.0058587,0,0.010183098,0.008749022,0.010893101,0.00817566,0.014678099,0.010073404,0.0106442,0.013034104
glycogen biosynthesis I (from ADP-D-Glucose),0.010785499,0.025759807,0,0.014773698,0.02502051,0.010456795,0.024549002,0.119066924,0.020586694,0.029963518,0.024587408,0.0559435,0.037683602,0.023698697,0,0.040789902,0.09483242,0.033788599,0,0.010002401,0.012662796,0.010657498,0.012602204,0.014314502,0.0200406,0.019000901,0.012981205,0.015822599,0.021465207
glycolysis I (from glucose 6-phosphate),0.032656997,0.033665407,0,0,0.02499791,0.013529294,0.019454801,0,0,0,0.042717814,0.0353419,0,0.063140295,0,0,0,0,0,0.0165441,0.019039195,0.012508097,0.015921004,0,0,0,0.010034704,0.011746,0
L-histidine biosynthesis,0.009848069,0.013922703,0,0.007734999,0,0.005244158,0,0,0,0.015669009,0,0,0,0,0,0,0,0,0,0.00448462,0,0.008236418,0.005033162,0.009289931,0.00843789,0.00823257,0,0.008679871,0
