Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1136_FV-W4_CP04543,1137__FV-W4_CP04543,1138__FV-W4_CP04543,1139__FV-W4_CP04543,1140__FV-W4_CP04543,1141__FV-W4_CP04543,1142__FV-W4_CP04543,1143__FV-W4_CP04543,1144__FV-W4_CP04543,1145__FV-W4_CP04543,1146__FT-W4_CP04543,1147__FT-W4_CP04543,1148_FT-W4_CP04543,1149_FT-W4_CP04543,1150_FT-W4_CP04543,1151_FT-W4_CP04543,1152_FT-W4_CP04543,1153_FT-W4_CP04543,1154_FT-W4_CP04543,1155_FT-W4_CP04543
Acetatifactor muris,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Acetatifactor muris,Acetatifactor muris,0.00767,0.00283,0.0039,0.00238,0.00156,0.00073,0.00151,0.00142,0.00286,0.00076,0.00168,0.0003,0.00119,0.00577,0.00124,0.00111,0.00064,0.00146,0.00286,0.00181
Acutalibacter sp. 1XD8-33,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Acutalibacter_u_s,Acutalibacter sp. 1XD8-33,0.00834,0.00274,0.00713,0.00197,0.00205,0.0012,0.00882,0.00054,0.00279,0.00424,0.00471,0.00047,0.00254,0.01538,0.00297,0.00198,0.00119,0.00536,0.00813,0.0037
Adlercreutzia muris,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia muris,Adlercreutzia muris,0.02453,0.02529,0.03752,0.02479,0.02126,0.03388,0.03789,0.04761,0.02245,0.03006,0.03028,0.03287,0.02704,0.0417,0.02982,0.01683,0.03014,0.0432,0.02336,0.03225
Akkermansia muciniphila ATCC BAA-835,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila ATCC BAA-835,4E-05,9E-05,0.00025,0.00016,0,0,0,0,0,0,0.00016,0.00198,0.00197,0.00018,0.00201,0.01376,0.00162,0.00091,0.00177,0.00227
Akkermansia sp. BIOML-A52,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_u_s,Akkermansia sp. BIOML-A52,0,0,0,0,4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2E-05,0
Akkermansia sp. BIOML-A66,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_u_s,Akkermansia sp. BIOML-A66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0
Alistipes finegoldii DSM 17242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242,0.00578,0.00133,0.0003,0.00206,0.00662,0.00094,0.00038,0.00091,0.02089,0.00036,0.00511,0.00236,0.00594,0.00552,0.00722,0.00134,0.00234,0.00311,0.00382,0.00533
Alistipes onderdonkii WAL 8169 = DSM 19147,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes onderdonkii WAL 8169 = DSM 19147,0,0,0,0,3E-05,0,0,0,0.0001,0,0,0,4E-05,4E-05,0,0,0,3E-05,0,0
Alistipes provencensis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes provencensis,Alistipes provencensis,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0
Alistipes putredinis DSM 17216,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis DSM 17216,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0
