Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1156_MSV-W4_CP04543,1157_MSV-W4_CP04543,1158_MSV-W4_CP04543,1159_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1161_MSV-W4_CP04543,1162_MSV-W4_CP04543,1163_MSV-W4_CP04543,1164_MSV-W4_CP04543,1165_MSV-W4_CP04543,1176_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1166_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1171_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543
Acetatifactor muris,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Acetatifactor muris,Acetatifactor muris,0.00809,0.00574,0.00214,0.00554,0.00969,0.009,0.00453,0.00271,0.01066,0.00696,0.00078,0.0006,0.00053,0.00176,0.00047,0.00182,0.00168,0,0,0.00086,0.00394,0.00114,0.00628,0.00373,0,0.00346,0.00115,0.00102,0.0035
Acutalibacter sp. 1XD8-33,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Acutalibacter_u_s,Acutalibacter sp. 1XD8-33,0.0033,0.00339,0.00087,0.00314,0.00298,0.00393,0.00145,0.00104,0.00451,0.00222,0,0,0,0.0006,0,0.00069,0.00069,0,0,0.00036,0.00212,0.0006,0.0031,0.00237,0,0.00205,0.00065,0.00066,0.00146
Adlercreutzia muris,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia muris,Adlercreutzia muris,0.0088,0.00987,0.00777,0.01063,0.00394,0,0.00485,0.02385,0.01084,0.00583,0,0.00412,0.00384,0.00744,0.00492,0.00617,0,0.00358,0.00296,0.00409,0.0084,0.01089,0.00422,0.00931,0.00385,0.00704,0.009,0.00453,0.00539
Akkermansia muciniphila,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,0.01361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01073,0,0,0,0,0,0,0.00358,0,0,0,0
Akkermansia muciniphila ATCC BAA-835,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila ATCC BAA-835,0,0,0,0,0.06579,0.00248,0.09428,0,0,0.10739,0,0,0.01219,0,0.00839,0,0,0,0.00341,0.00634,0,0,0.00654,0,0,0,0.00097,0.06453,0.06804
Alistipes finegoldii DSM 17242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242,0.0137,0.00286,0.00333,0,0.0075,0.00819,0.00317,0.00427,0.00717,0.016,0.00674,0.00529,0.00135,0.00205,0.00083,0.00356,0.00613,0.00065,0,0.00105,0.00725,0.00801,0.00756,0.01028,0.01501,0.00859,0.00679,0.00455,0.00341
Alistipes sp. HGB5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. HGB5,0.01483,0.00321,0.00363,0.00245,0.00843,0.00884,0.00335,0.00484,0.00767,0.01793,0.00759,0.00583,0.00148,0.00232,0.0009,0.00397,0.0069,0.00071,0,0.00111,0.0079,0.00873,0.00844,0.01117,0.01663,0.00975,0.00741,0.00502,0.00395
Anaerotruncus sp. 1XD22-93,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_u_s,Anaerotruncus sp. 1XD22-93,0.00828,0.00602,0.00909,0.00602,0.00652,0.00488,0.00247,0.00616,0.01238,0.00538,0,0,0.0009,0,0.00031,0.00094,0,0,0,0.00188,0,0.00068,0,0,0.00596,0,0,0,0
Anaerotruncus sp. G3(2012),Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_u_s,Anaerotruncus sp. G3(2012),0,0,0,0,0,0,0,0,0,0,0.00042,0.00051,0,0.00089,0,0,0.00099,0,0,0,0.00221,0,0.00857,0.0031,0,0.00274,0.00065,0.00089,0.00149
Adlercreutzia equolifaciens subsp. celatus,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens subsp. celatus,0,0,0.00097,0,0,0,0,0.00213,0,0,0.00045,0.00059,0.00064,0.00103,0.00076,0.00112,0,0.00062,0.00071,0.0006,0,0.00075,0,0,0,0,0,0,0.00069
Bacteroides_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides_u_t,0.00224,0.00353,0,0.00137,0,0,0.00125,0.00136,0.00265,0.0025,0.0008,0.00143,0,0.00112,0.0009,0,0.00068,0.00113,0,0.0014,0.00079,0,0,0.00104,0.00084,0.00116,0,0.00091,0.00059
Bacteroides acidifaciens JCM 10556,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,Bacteroides acidifaciens JCM 10556,0,0,0,0,0,0,0,0,0,0,0,0,0.02582,0,0.00927,0,0,0.01471,0.01513,0.04098,0,0.00059,0,0,0,0,0,0,0
Bacteroides caecimuri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuri,Bacteroides caecimuri,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0,0.00312,0,0,0.00497,0.00477,0.01377,0,0,0,0,0,0,0,0,0
Bacteroides caecimuris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuris,Bacteroides caecimuris,0,0,0,0,0,0,0,0,0,0,0.00046,0.00037,0.00876,0,0.0031,0,0,0.00499,0.00471,0.01383,0.00084,0.00077,0,0,0,0.00081,0.00057,0,0
Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,0,0,0.00076,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0.00083,0,0,0.00039,0.00074,0.00052,0,0,0,0.00076,0.00059,0,0
Bacteroides fragilis str. 3397 T10,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_u_f,Phocaeicola,Phocaeicola massiliensis,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,0,0.00209,0,0,0,0.00443,0,0,0,0.00226,0.00176,0.00241,0.0011,0,0,0,0.0021,0,0,0.00116,0.0041,0.00442,0,0.00431,0,0.00486,0.00342,0.00219,0
Bacteroides sp. AF33-23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. AF33-23,0.05247,0.01502,0.02909,0.01363,0,0.05565,0.01172,0.01357,0.01603,0.02425,0.01984,0.03081,0.01491,0.00886,0.00667,0.0303,0.02412,0.00657,0,0.02031,0.0656,0.02405,0.01273,0.04052,0.00772,0.05958,0.0251,0.02113,0.01361
Bacteroides sp. AM16-15,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. AM16-15,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides uniformis dnLKV2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis dnLKV2,0.07361,0.02259,0.04054,0.02079,0.02809,0.0804,0.01716,0.0196,0.02362,0.03451,0.0276,0.04131,0.02112,0.01297,0.00931,0.04186,0.03374,0.00914,0.00276,0.02743,0.08871,0.03407,0.01883,0.05667,0.01215,0.08075,0.03533,0.02971,0.01947
