"","Name","mouseID","Time","Sex","trt","orch","Fem.BV.TV"
"1156_M-BL_CP04543-B","1156_M-BL_CP04543-B",1156,1,"Male","Veh","No",NA
"1160_M-BL_CP04543-B","1160_M-BL_CP04543-B",1160,1,"Male","Veh","No",NA
"1164_M-BL_CP04543-B","1164_M-BL_CP04543-B",1164,1,"Male","Veh","No",NA
"1168_M-BL_CP04543-B","1168_M-BL_CP04543-B",1168,1,"Male","Veh","No",NA
"1170_M-BL_CP04543-B","1170_M-BL_CP04543-B",1170,1,"Male","Veh","No",NA
"1174_M-BL_CP04543-B","1174_M-BL_CP04543-B",1174,1,"Male","Veh","No",NA
"1178_M-BL_CP04543-B","1178_M-BL_CP04543-B",1178,1,"Male","Veh","No",NA
"1180_M-BL_CP04543-B","1180_M-BL_CP04543-B",1180,1,"Male","Veh","No",NA
"1182_M-BL_CP04543-B","1182_M-BL_CP04543-B",1182,1,"Male","Veh","No",NA
"1184_M-BL_CP04543-B","1184_M-BL_CP04543-B",1184,1,"Male","Veh","No",NA
"1136_F-BL_CP04543-B","1136_F-BL_CP04543-B",1136,1,"Female","Veh","No",NA
"1138_F-BL_CP04543-B","1138_F-BL_CP04543-B",1138,1,"Female","Veh","No",NA
"1140_F-BL_CP04543-B","1140_F-BL_CP04543-B",1140,1,"Female","Veh","No",NA
"1142_F-BL_CP04543-B","1142_F-BL_CP04543-B",1142,1,"Female","Veh","No",NA
"1144_F-BL_CP04543-B","1144_F-BL_CP04543-B",1144,1,"Female","Veh","No",NA
"1146_F-BL_CP04543-B","1146_F-BL_CP04543-B",1146,1,"Female","Veh","No",NA
"1148_F-BL_CP04543-B","1148_F-BL_CP04543-B",1148,1,"Female","Veh","No",NA
"1150_F-BL_CP04543-B","1150_F-BL_CP04543-B",1150,1,"Female","Veh","No",NA
"1152_F-BL_CP04543-B","1152_F-BL_CP04543-B",1152,1,"Female","Veh","No",NA
"1154_F-BL_CP04543-B","1154_F-BL_CP04543-B",1154,1,"Female","Veh","No",NA
"1136_FV-W4_CP04543","1136_FV-W4_CP04543",1136,4,"Female","Veh","No",7.5
"1137__FV-W4_CP04543","1137__FV-W4_CP04543",1137,4,"Female","Veh","No",8.31
"1138__FV-W4_CP04543","1138__FV-W4_CP04543",1138,4,"Female","Veh","No",9.16
"1139__FV-W4_CP04543","1139__FV-W4_CP04543",1139,4,"Female","Veh","No",21.82
"1140__FV-W4_CP04543","1140__FV-W4_CP04543",1140,4,"Female","Veh","No",7.35
"1141__FV-W4_CP04543","1141__FV-W4_CP04543",1141,4,"Female","Veh","No",10.41
"1142__FV-W4_CP04543","1142__FV-W4_CP04543",1142,4,"Female","Veh","No",4.38
"1143__FV-W4_CP04543","1143__FV-W4_CP04543",1143,4,"Female","Veh","No",11.75
"1144__FV-W4_CP04543","1144__FV-W4_CP04543",1144,4,"Female","Veh","No",10.02
"1145__FV-W4_CP04543","1145__FV-W4_CP04543",1145,4,"Female","Veh","No",12.08
"1146__FT-W4_CP04543","1146__FT-W4_CP04543",1146,4,"Female","Test","No",9.91
"1147__FT-W4_CP04543","1147__FT-W4_CP04543",1147,4,"Female","Test","No",12.69
"1148_FT-W4_CP04543","1148_FT-W4_CP04543",1148,4,"Female","Test","No",9.64
"1149_FT-W4_CP04543","1149_FT-W4_CP04543",1149,4,"Female","Test","No",7.29
"1150_FT-W4_CP04543","1150_FT-W4_CP04543",1150,4,"Female","Test","No",8.84
"1151_FT-W4_CP04543","1151_FT-W4_CP04543",1151,4,"Female","Test","No",11.29
"1152_FT-W4_CP04543","1152_FT-W4_CP04543",1152,4,"Female","Test","No",8.44
"1153_FT-W4_CP04543","1153_FT-W4_CP04543",1153,4,"Female","Test","No",6.65
"1154_FT-W4_CP04543","1154_FT-W4_CP04543",1154,4,"Female","Test","No",10.66
"1155_FT-W4_CP04543","1155_FT-W4_CP04543",1155,4,"Female","Test","No",9.19
"1156_MSV-W4_CP04543","1156_MSV-W4_CP04543",1156,4,"Male","Veh","No",15.74
"1157_MSV-W4_CP04543","1157_MSV-W4_CP04543",1157,4,"Male","Veh","No",25.55
"1158_MSV-W4_CP04543","1158_MSV-W4_CP04543",1158,4,"Male","Veh","No",14.81
"1159_MSV-W4_CP04543","1159_MSV-W4_CP04543",1159,4,"Male","Veh","No",15.87
"1160_MSV-W4_B_CP04543","1160_MSV-W4_B_CP04543",1160,4,"Male","Veh","No",30.83
"1161_MSV-W4_CP04543","1161_MSV-W4_CP04543",1161,4,"Male","Veh","No",13.46
"1162_MSV-W4_CP04543","1162_MSV-W4_CP04543",1162,4,"Male","Veh","No",13.54
"1163_MSV-W4_CP04543","1163_MSV-W4_CP04543",1163,4,"Male","Veh","No",14.11
"1164_MSV-W4_CP04543","1164_MSV-W4_CP04543",1164,4,"Male","Veh","No",12.79
"1165_MSV-W4_CP04543","1165_MSV-W4_CP04543",1165,4,"Male","Veh","No",14.28
"1166_M_O_V-W4_CP04543","1166_M_O_V-W4_CP04543",1166,4,"Male","Veh","Yes",9.65
"1167_M_O_V-W4_CP04543","1167_M_O_V-W4_CP04543",1167,4,"Male","Veh","Yes",5.38
"1168_M_O_V-W4_CP04543","1168_M_O_V-W4_CP04543",1168,4,"Male","Veh","Yes",7.24
"1169_M_O_V-W4_CP04543","1169_M_O_V-W4_CP04543",1169,4,"Male","Veh","Yes",6.06
"1170_M_O_V-W4_CP04543","1170_M_O_V-W4_CP04543",1170,4,"Male","Veh","Yes",6.93
"1171_M_O_V-W4_CP04543","1171_M_O_V-W4_CP04543",1171,4,"Male","Veh","Yes",6.31
"1172_M_O_V-W4_CP04543","1172_M_O_V-W4_CP04543",1172,4,"Male","Veh","Yes",7.65
"1173_M_O_V-W4_CP04543","1173_M_O_V-W4_CP04543",1173,4,"Male","Veh","Yes",4.08
"1174_M_O_V-W4_CP04543","1174_M_O_V-W4_CP04543",1174,4,"Male","Veh","Yes",7.63
"1176_M_ORX_E-W4_CP04543","1176_M_ORX_E-W4_CP04543",1176,4,"Male","Estrogen","Yes",48.39
"1177_M_ORX_E-W4_CP04543","1177_M_ORX_E-W4_CP04543",1177,4,"Male","Estrogen","Yes",55.73
"1178_M_ORX_E-W4_CP04543","1178_M_ORX_E-W4_CP04543",1178,4,"Male","Estrogen","Yes",25.91
"1179_M_ORX_E-W4_CP04543","1179_M_ORX_E-W4_CP04543",1179,4,"Male","Estrogen","Yes",60.21
"1180_M_ORX_E-W4_CP04543","1180_M_ORX_E-W4_CP04543",1180,4,"Male","Estrogen","Yes",19.03
"1181_M_ORX_E-W4_CP04543","1181_M_ORX_E-W4_CP04543",1181,4,"Male","Estrogen","Yes",38.79
"1182_M_ORX_E-W4_CP04543","1182_M_ORX_E-W4_CP04543",1182,4,"Male","Estrogen","Yes",50.35
"1183_M_ORX_E-W4_CP04543","1183_M_ORX_E-W4_CP04543",1183,4,"Male","Estrogen","Yes",28.25
"1184_M_ORX_E-W4_CP04543","1184_M_ORX_E-W4_CP04543",1184,4,"Male","Estrogen","Yes",45.15
"1185_M_ORX_E-W4_CP04543","1185_M_ORX_E-W4_CP04543",1185,4,"Male","Estrogen","Yes",32.62
