Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated mouse_C57BL_6NJ pair1	decontaminated mouse_C57BL_6NJ pair2	decontaminated mouse_C57BL_6NJ orphan1	decontaminated mouse_C57BL_6NJ orphan2	final pair1	final pair2	final orphan1	final orphan2
1136_F-BL_CP04543-B_L001	4446430.0	4446430.0	3825854.0	3825854.0	193347.0	101745.0	3352406.0	3352406.0	246533.0	269012.0	3352406.0	3352406.0	246533.0	269012.0
1136_FV-W4_CP04543_L007	2107658.0	2107658.0	1676819.0	1676819.0	326028.0	30803.0	1648531.0	1648531.0	329274.0	37066.0	1648531.0	1648531.0	329274.0	37066.0
1137__FV-W4_CP04543_L007	1689822.0	1689822.0	1355375.0	1355375.0	225948.0	36505.0	1329172.0	1329172.0	228960.0	41062.0	1329172.0	1329172.0	228960.0	41062.0
1138_F-BL_CP04543-B_L001	4402515.0	4402515.0	3731200.0	3731200.0	156946.0	126124.0	3487002.0	3487002.0	225259.0	250865.0	3487002.0	3487002.0	225259.0	250865.0
1138__FV-W4_CP04543_L007	1742006.0	1742006.0	1424447.0	1424447.0	207295.0	34165.0	1399748.0	1399748.0	210238.0	38571.0	1399748.0	1399748.0	210238.0	38571.0
1139__FV-W4_CP04543_L007	1806793.0	1806793.0	1480011.0	1480011.0	226806.0	28764.0	1414071.0	1414071.0	228254.0	32400.0	1414071.0	1414071.0	228254.0	32400.0
1140_F-BL_CP04543-B_L001	7394074.0	7394074.0	5851715.0	5851715.0	240677.0	163718.0	4923783.0	4923783.0	395663.0	512936.0	4923783.0	4923783.0	395663.0	512936.0
1140__FV-W4_CP04543_L007	1750434.0	1750434.0	1401380.0	1401380.0	192251.0	74428.0	1215754.0	1215754.0	181527.0	70113.0	1215754.0	1215754.0	181527.0	70113.0
1141__FV-W4_CP04543_L007	1569775.0	1569775.0	1250771.0	1250771.0	192109.0	49391.0	1227908.0	1227908.0	194663.0	53163.0	1227908.0	1227908.0	194663.0	53163.0
1142_F-BL_CP04543-B_L001	2553560.0	2553560.0	2157015.0	2157015.0	163858.0	52813.0	1937457.0	1937457.0	186002.0	139326.0	1937457.0	1937457.0	186002.0	139326.0
1142__FV-W4_CP04543_L007	1306232.0	1306232.0	1032949.0	1032949.0	196157.0	19992.0	1005823.0	1005823.0	197415.0	23178.0	1005823.0	1005823.0	197415.0	23178.0
1143__FV-W4_CP04543_L007	1578216.0	1578216.0	1276377.0	1276377.0	210434.0	26552.0	1248772.0	1248772.0	212542.0	30539.0	1248772.0	1248772.0	212542.0	30539.0
1144_F-BL_CP04543-B_L001	5126892.0	5126892.0	4537493.0	4537493.0	242010.0	114029.0	4092116.0	4092116.0	305105.0	331411.0	4092116.0	4092116.0	305105.0	331411.0
1144__FV-W4_CP04543_L007	1101523.0	1101523.0	898840.0	898840.0	149418.0	17553.0	871764.0	871764.0	149653.0	20149.0	871764.0	871764.0	149653.0	20149.0
1145__FV-W4_CP04543_L007	1656026.0	1656026.0	1310712.0	1310712.0	257927.0	23277.0	1146419.0	1146419.0	243043.0	24549.0	1146419.0	1146419.0	243043.0	24549.0
1146_F-BL_CP04543-B_L001	4059223.0	4059223.0	3555232.0	3555232.0	233421.0	88218.0	3272041.0	3272041.0	268540.0	233437.0	3272041.0	3272041.0	268540.0	233437.0
1146__FT-W4_CP04543_L007	1567217.0	1567217.0	1275216.0	1275216.0	175491.0	47868.0	1203965.0	1203965.0	174881.0	49983.0	1203965.0	1203965.0	174881.0	49983.0
1147__FT-W4_CP04543_L007	1631712.0	1631712.0	1288803.0	1288803.0	252399.0	23137.0	1218731.0	1218731.0	250941.0	26821.0	1218731.0	1218731.0	250941.0	26821.0
1148_F-BL_CP04543-B_L001	3043790.0	3043790.0	2686502.0	2686502.0	139066.0	67709.0	2408584.0	2408584.0	174965.0	194570.0	2408584.0	2408584.0	174965.0	194570.0
1148_FT-W4_CP04543_L007	1674815.0	1674815.0	1343475.0	1343475.0	235254.0	27388.0	1184391.0	1184391.0	226366.0	28310.0	1184391.0	1184391.0	226366.0	28310.0
