# samples	total features
1136_F-BL_CP04543-B_L001	236
1136_FV-W4_CP04543_L007	177
1137__FV-W4_CP04543_L007	117
1138_F-BL_CP04543-B_L001	232
1138__FV-W4_CP04543_L007	115
1139__FV-W4_CP04543_L007	124
1140_F-BL_CP04543-B_L001	183
1140__FV-W4_CP04543_L007	110
1141__FV-W4_CP04543_L007	84
1142_F-BL_CP04543-B_L001	136
1142__FV-W4_CP04543_L007	74
1143__FV-W4_CP04543_L007	96
1144_F-BL_CP04543-B_L001	277
1144__FV-W4_CP04543_L007	112
1145__FV-W4_CP04543_L007	78
1146_F-BL_CP04543-B_L001	279
1146__FT-W4_CP04543_L007	112
1147__FT-W4_CP04543_L007	72
1148_F-BL_CP04543-B_L001	230
1148_FT-W4_CP04543_L007	86
1149_FT-W4_CP04543_L007	138
1150_F-BL_CP04543-B_L001	230
1150_FT-W4_CP04543_L007	73
1151_FT-W4_CP04543_L007	93
1152_F-BL_CP04543-B_L001	201
1152_FT-W4_CP04543_L007	91
1153_FT-W4_CP04543_L007	129
1154_F-BL_CP04543-B_L001	203
1154_FT-W4_CP04543_L007	156
1155_FT-W4_CP04543_L007	125
1156_M-BL_CP04543-B_L001	239
1156_MSV-W4_CP04543_L007	108
1157_MSV-W4_CP04543_L007	138
1158_MSV-W4_CP04543_L007	93
1159_MSV-W4_CP04543_L007	110
1160_M-BL_CP04543-B_L001	159
1160_MSV-W4_B_CP04543_L001	137
1161_MSV-W4_CP04543_L007	123
1162_MSV-W4_CP04543_L007	137
1163_MSV-W4_CP04543_L007	105
1164_M-BL_CP04543-B_L001	99
1164_MSV-W4_CP04543_L007	159
1165_MSV-W4_CP04543_L007	152
1166_M_O_V-W4_CP04543_L007	114
1167_M_O_V-W4_CP04543_L007	90
1168_M-BL_CP04543-B_L001	155
1168_M_O_V-W4_CP04543_L007	151
1169_M_O_V-W4_CP04543_L007	112
1170_M-BL_CP04543-B_L001	164
1170_M_O_V-W4_CP04543_L007	69
1171_M_O_V-W4_CP04543_L007	115
1172_M_O_V-W4_CP04543_L007	80
1173_M_O_V-W4_CP04543_L007	91
1174_M-BL_CP04543-B_L001	128
1174_M_O_V-W4_CP04543_L007	130
1176_M_ORX_E-W4_CP04543_L007	83
1177_M_ORX_E-W4_CP04543_L007	81
1178_M-BL_CP04543-B_L001	105
1178_M_ORX_E-W4_CP04543_L007	70
1179_M_ORX_E-W4_CP04543_L007	93
1180_M-BL_CP04543-B_L001	178
1180_M_ORX_E-W4_CP04543_L007	82
1181_M_ORX_E-W4_CP04543_L007	98
1182_M-BL_CP04543-B_L001	195
1182_M_ORX_E-W4_CP04543_L007	91
1183_M_ORX_E-W4_CP04543_L007	58
1184_M-BL_CP04543-B_L001	175
1184_M_ORX_E-W4_CP04543_L007	41
1185_M_ORX_E-W4_CP04543_L007	98
