# taxonomy 	1136_F-BL_CP04543-B_L001_taxonomic_profile	1136_FV-W4_CP04543_L007_taxonomic_profile	1137__FV-W4_CP04543_L007_taxonomic_profile	1138_F-BL_CP04543-B_L001_taxonomic_profile	1138__FV-W4_CP04543_L007_taxonomic_profile	1139__FV-W4_CP04543_L007_taxonomic_profile	1140_F-BL_CP04543-B_L001_taxonomic_profile	1140__FV-W4_CP04543_L007_taxonomic_profile	1141__FV-W4_CP04543_L007_taxonomic_profile	1142_F-BL_CP04543-B_L001_taxonomic_profile	1142__FV-W4_CP04543_L007_taxonomic_profile	1143__FV-W4_CP04543_L007_taxonomic_profile	1144_F-BL_CP04543-B_L001_taxonomic_profile	1144__FV-W4_CP04543_L007_taxonomic_profile	1145__FV-W4_CP04543_L007_taxonomic_profile	1146_F-BL_CP04543-B_L001_taxonomic_profile	1146__FT-W4_CP04543_L007_taxonomic_profile	1147__FT-W4_CP04543_L007_taxonomic_profile	1148_F-BL_CP04543-B_L001_taxonomic_profile	1148_FT-W4_CP04543_L007_taxonomic_profile	1149_FT-W4_CP04543_L007_taxonomic_profile	1150_F-BL_CP04543-B_L001_taxonomic_profile	1150_FT-W4_CP04543_L007_taxonomic_profile	1151_FT-W4_CP04543_L007_taxonomic_profile	1152_F-BL_CP04543-B_L001_taxonomic_profile	1152_FT-W4_CP04543_L007_taxonomic_profile	1153_FT-W4_CP04543_L007_taxonomic_profile	1154_F-BL_CP04543-B_L001_taxonomic_profile	1154_FT-W4_CP04543_L007_taxonomic_profile	1155_FT-W4_CP04543_L007_taxonomic_profile	1156_M-BL_CP04543-B_L001_taxonomic_profile	1156_MSV-W4_CP04543_L007_taxonomic_profile	1157_MSV-W4_CP04543_L007_taxonomic_profile	1158_MSV-W4_CP04543_L007_taxonomic_profile	1159_MSV-W4_CP04543_L007_taxonomic_profile	1160_M-BL_CP04543-B_L001_taxonomic_profile	1160_MSV-W4_B_CP04543_L001_taxonomic_profile	1161_MSV-W4_CP04543_L007_taxonomic_profile	1162_MSV-W4_CP04543_L007_taxonomic_profile	1163_MSV-W4_CP04543_L007_taxonomic_profile	1164_M-BL_CP04543-B_L001_taxonomic_profile	1164_MSV-W4_CP04543_L007_taxonomic_profile	1165_MSV-W4_CP04543_L007_taxonomic_profile	1166_M_O_V-W4_CP04543_L007_taxonomic_profile	1167_M_O_V-W4_CP04543_L007_taxonomic_profile	1168_M-BL_CP04543-B_L001_taxonomic_profile	1168_M_O_V-W4_CP04543_L007_taxonomic_profile	1169_M_O_V-W4_CP04543_L007_taxonomic_profile	1170_M-BL_CP04543-B_L001_taxonomic_profile	1170_M_O_V-W4_CP04543_L007_taxonomic_profile	1171_M_O_V-W4_CP04543_L007_taxonomic_profile	1172_M_O_V-W4_CP04543_L007_taxonomic_profile	1173_M_O_V-W4_CP04543_L007_taxonomic_profile	1174_M-BL_CP04543-B_L001_taxonomic_profile	1174_M_O_V-W4_CP04543_L007_taxonomic_profile	1176_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1177_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1178_M-BL_CP04543-B_L001_taxonomic_profile	1178_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1179_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1180_M-BL_CP04543-B_L001_taxonomic_profile	1180_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1181_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1182_M-BL_CP04543-B_L001_taxonomic_profile	1182_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1183_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1184_M-BL_CP04543-B_L001_taxonomic_profile	1184_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1185_M_ORX_E-W4_CP04543_L007_taxonomic_profile
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0.05494	0	0	0.01099	0	0	0.09709	0	0	0.03102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.94506	100.0	100.0	99.98901	100.0	100.0	99.90291	100.0	100.0	99.96898	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	56.78992	48.73982	40.69896	63.15814	54.48307	43.48854	29.99186	39.17663	59.29548	33.45631	61.78323	69.07398	33.53757	30.93731	55.47101	53.83352	26.70008	29.26682	60.09231	25.01454	37.71236	53.65117	19.04658	39.84974	34.6199	30.45286	40.34453	35.82683	35.57808	27.2772	36.95173	48.1383	55.3053	40.26774	51.55411	47.26863	53.41456	51.46624	47.65634	47.94219	33.11883	52.71752	46.1435	50.03132	44.57528	42.1906	58.02176	51.34161	38.71043	39.60061	42.91499	48.75154	40.92726	36.77754	56.3728	37.27353	46.36344	28.40502	46.16943	44.31763	46.20294	65.31179	51.49067	37.44263	44.22492	56.62457	29.60796	70.56184	39.57317
k__Bacteria|p__Tenericutes	0.25201	0	0	0	0	0	0	0	0	0	0	0	0.05205	0	0	0.07331	0	0	0.11535	0	0	0	0	0	0.04276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.05494	0	0	0.01099	0	0	0.09709	0	0	0.03102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0.02636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	25.58367	26.34016	33.79498	19.52225	20.32246	35.49223	44.15921	39.53352	22.13121	50.80601	17.86754	9.83495	48.10946	52.18147	27.44604	22.53524	46.5619	43.58324	22.38655	49.6671	30.53874	28.25038	49.86186	38.73181	44.33155	41.22194	37.099	41.79614	36.29912	42.67277	38.74901	17.4031	17.06356	25.38565	16.61302	31.55064	17.37023	17.99331	22.58077	18.48794	41.85425	16.04897	22.38674	26.14349	31.17898	39.0137	18.8002	23.32803	40.00491	36.27303	29.8475	29.76577	30.24064	37.21175	19.5456	39.75602	11.11861	36.81101	19.63784	19.10739	26.5992	9.72042	15.39545	40.86903	29.59403	13.73225	38.61391	6.58617	28.11178
k__Bacteria|p__Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0.03167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0.00609	0	0	0	0	0	0	0	0	0.00907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0.00768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
