"","raw.pvalue","adj.pvalue","mean.freq","direction.SexFemale","otu.name","Species"
"1",9.09e-05,0.000538,0.00154,"+","5","Adlercreutzia mucosicola"
"2",9.09e-05,0.000538,0.00982,"-","19","Bacteroides_u_s"
"3",9.09e-05,0.000538,0.00314,"-","24","Burkholderiales_u_s"
"4",9.09e-05,0.000538,0.004,"-","25","Butyricimonas virosa"
"5",9.09e-05,0.000538,0.0582,"+","33","Duncaniella freteri"
"6",9.09e-05,0.000538,0.0105,"-","35","Duncaniella_u_s"
"7",9.09e-05,0.000538,0.0899,"-","58","Muribaculaceae_u_s"
"8",9.09e-05,0.000538,0.0545,"-","59","Muribaculum_u_s"
"9",9.09e-05,0.000538,0.00271,"-","64","Parasutterella excrementihominis"
"10",0.000136,0.000727,0.0028,"-","86","Staphylococcus xylosus"
"11",0.000182,0.000881,0.000552,"-","15","Bacteroides fragilis"
"12",0.000636,0.00283,0.00847,"-","7","Akkermansia muciniphila"
"13",0.00218,0.00894,0.000726,"-","4","Adlercreutzia equolifaciens"
"14",0.00382,0.0145,0.00271,"+","41","Eubacterium_u_s"
"15",0.006,0.0213,0.00674,"+","57","Mucispirillum schaedleri"
"16",0.00709,0.0236,0.141,"-","71","Prevotella_u_s"
"17",0.00936,0.0269,0.00536,"+","6","Adlercreutzia muris"
"18",0.00955,0.0269,0.00157,"+","38","Enterococcus_u_s"
"19",0.01,0.0269,0.0056,"+","39","Enterorhabdus_u_s"
"20",0.0101,0.0269,0.00508,"-","85","Staphylococcus nepalensis"
"21",0.0111,0.0269,0.0109,"+","74","Roseburia_u_s"
"22",0.0111,0.0269,0.00564,"-","51","Lactobacillus_u_s"
"23",0.016,0.0371,0.00317,"+","2","Acutalibacter_u_s"
"24",0.0255,0.0566,0.00116,"-","27","Candidatus Arthromitus_u_s"
"25",0.0275,0.0582,0.000205,"+","47","Lachnoclostridium_u_s"
"26",0.0288,0.0582,0.000886,"+","81","Sarcina_u_s"
"27",0.0295,0.0582,0.000203,"-","63","Paramuribaculum intestinale"
"28",0.0353,0.0645,0.0191,"-","17","Bacteroides uniformis"
"29",0.0353,0.0645,0.00452,"-","49","Lactobacillales_u_s"
"30",0.0363,0.0645,0.000575,"-","12","Bacteroides acidifaciens"
"31",0.0377,0.0647,0.000358,"-","13","Bacteroides caecimuri"
"32",0.0443,0.0738,0.0267,"+","82","Schaedlerella arabinosiphila"
"33",0.0467,0.0754,0.155,"+","48","Lachnospiraceae_u_s"
"34",0.0507,0.0794,0.000208,"-","16","Bacteroides ovatus"
"35",0.0565,0.086,0.00281,"+","40","Eubacterium plexicaudatum"
"36",0.0585,0.0866,0.000164,"+","28","Clostridiales_u_s"
"37",0.062,0.0893,0.000403,"+","84","Selenomonas_u_s"
"38",0.0645,0.0904,0.00102,"-","18","Bacteroides xylanisolvens"
"39",0.0665,0.0909,0.0055,"-","42","Faecalibaculum rodentium"
